"Story","Title","Result","Date","Stability","Duration (s)"
"Managing the cart","Colin adds an item to the cart","SUCCESS","2021-12-02T14:41:24.780087956Z[Etc/UTC]","0.0","6.25"
"Managing the cart","Colin removes an item from the cart on the product catalog page 2","SUCCESS","2021-12-02T14:41:39.690525363Z[Etc/UTC]","0.0","5.4"
"Managing the cart","Colin removes an item from the cart overview","SUCCESS","2021-12-02T14:41:45.11375551Z[Etc/UTC]","0.0","4.22"
"Completing a purchase","Colin purchases two items and sees them both appear in the purchase summary","SUCCESS","2021-12-02T14:41:37.948462995Z[Etc/UTC]","0.0","4.38"
"Completing a purchase","Colin confirms his order and is told that the items have been dispatched","SUCCESS","2021-12-02T14:41:42.358690121Z[Etc/UTC]","0.0","4.34"
"Calculating sales tax","Colin purchases two items so the total tax calculated includes tax for both items","SUCCESS","2021-12-02T14:41:06.598820439Z[Etc/UTC]","0.0","4.02"
