"Story","Title","Result","Date","Stability","Duration (s)"
"Managing the cart","Colin adds items to the cart","SUCCESS","2022-08-31T12:07:40.96946336Z[Etc/UTC]","0.0","43.03"
"Managing the cart","Colin adds an item to the cart","SUCCESS","2022-08-31T12:08:24.005574214Z[Etc/UTC]","0.0","5.79"
"Managing the cart","Colin removes an item from the cart on the product catalog page 2","SUCCESS","2022-08-31T12:08:29.91963553Z[Etc/UTC]","0.0","7.03"
"Managing the cart","Colin removes an item from the cart overview","SUCCESS","2022-08-31T12:08:37.0287923Z[Etc/UTC]","0.0","4.59"
"Managing the cart","Colin views the details of a product and adds it to his cart 2","SUCCESS","2022-08-31T12:08:41.734427549Z[Etc/UTC]","0.0","3.71"
"Managing the cart","Colin sees every item he has added in the cart","SUCCESS","2022-08-31T12:08:45.56543299Z[Etc/UTC]","0.0","2.61"
