"Story","Title","Result","Date","Stability","Duration (s)"
"Browse the catalog","Colin reviews our range of products","SUCCESS","2022-08-31T12:07:40.975461773Z[Etc/UTC]","0.0","19.61"
"Browse the catalog","Colin views information about each product","SUCCESS","2022-08-31T12:08:00.805955821Z[Etc/UTC]","0.0","13.95"
"Browse the catalog","Colin views the details for specific products","SUCCESS","2022-08-31T12:08:14.765937474Z[Etc/UTC]","0.0","26.09"
"Filtering products","Sort products","SUCCESS","2022-08-31T12:08:41.243391525Z[Etc/UTC]","0.0","14.76"
