"Story","Title","Result","Date","Stability","Duration (s)"
"Browse the catalog","Colin reviews our range of products","SUCCESS","2021-11-07T15:06:39.561792453Z[Etc/UTC]","0.0","33.2"
"Browse the catalog","Colin views information about each product","SUCCESS","2021-11-07T15:07:13.256063806Z[Etc/UTC]","0.0","28.17"
"Browse the catalog","Colin views the details for specific products","SUCCESS","2021-11-07T15:07:41.538168942Z[Etc/UTC]","0.0","22.08"
"Browse the catalog","Sort products","SUCCESS","2021-11-07T15:08:03.636463711Z[Etc/UTC]","0.0","11.56"
