"Story","Title","Result","Date","Stability","Duration (s)"
"Managing the cart","Colin adds items to the cart","SUCCESS","2021-11-18T17:47:59.572268841Z[Etc/UTC]","0.0","55.74"
"Managing the cart","Colin adds an item to the cart","SUCCESS","2021-11-18T17:48:55.360842047Z[Etc/UTC]","0.0","5.34"
"Managing the cart","Colin adds several items to the cart","SUCCESS","2021-11-18T17:49:00.711502659Z[Etc/UTC]","0.0","5.95"
"Managing the cart","Colin removes an item from the cart on the product catalog page 2","SUCCESS","2021-11-18T17:49:06.733853977Z[Etc/UTC]","0.0","6.08"
"Managing the cart","Colin removes an item from the cart overview","SUCCESS","2021-11-18T17:49:12.830068753Z[Etc/UTC]","0.0","4.43"
"Managing the cart","Colin views the details of a product and adds it to his cart 2","SUCCESS","2021-11-18T17:49:17.293950506Z[Etc/UTC]","0.0","3.55"
"Managing the cart","Colin sees every item he has added in the cart","SUCCESS","2021-11-18T17:49:20.870512691Z[Etc/UTC]","0.0","2.56"
