"Story","Title","Result","Date","Stability","Duration (s)"
"Managing the cart","Colin adds items to the cart","SUCCESS","2022-02-16T10:15:31.776106399Z[Etc/UTC]","0.0","11.15"
"Managing the cart","Colin adds an item to the cart","SUCCESS","2022-02-16T10:15:42.935082422Z[Etc/UTC]","0.0","4.64"
"Managing the cart","Colin removes an item from the cart on the product catalog page 2","SUCCESS","2022-02-16T10:15:47.684105693Z[Etc/UTC]","0.0","4.62"
"Managing the cart","Colin removes an item from the cart overview","SUCCESS","2022-02-16T10:15:52.411741221Z[Etc/UTC]","0.0","3.83"
"Managing the cart","Colin views the details of a product and adds it to his cart 2","SUCCESS","2022-02-16T10:15:56.350426538Z[Etc/UTC]","0.0","3.97"
"Managing the cart","Colin sees every item he has added in the cart","SUCCESS","2022-02-16T10:16:00.427962304Z[Etc/UTC]","0.0","3.44"
