"Story","Title","Result","Date","Stability","Duration (s)"
"Managing the cart","Colin adds items to the cart","SUCCESS","2021-11-05T10:36:48.587119054Z[Etc/UTC]","0.0","18.38"
"Managing the cart","Colin adds an item to the cart","SUCCESS","2021-11-05T10:37:07.044966241Z[Etc/UTC]","0.0","1.2"
"Managing the cart","Colin adds several items to the cart","SUCCESS","2021-11-05T10:37:08.365677789Z[Etc/UTC]","0.0","2.34"
"Managing the cart","Colin removes an item from the cart","SUCCESS","2021-11-05T10:37:10.789928198Z[Etc/UTC]","0.0","2.91"
"Managing the cart","Colin views the details of a product and adds it to his cart","SUCCESS","2021-11-05T10:37:13.709613086Z[Etc/UTC]","0.0","1.9"
"Managing the cart","Colin adds some items to the cart and reviews his cart contents","SUCCESS","2021-11-05T10:37:15.668802718Z[Etc/UTC]","0.0","2.17"
