"Story","Title","Result","Date","Stability","Duration (s)"
"Completing a purchase","Colin enters incomplete name and address info","SUCCESS","2021-11-06T08:15:41.023320576Z[Etc/UTC]","0.0","38.33"
"Completing a purchase","Colin purchases two items and sees them both appear in the purchase summary","SUCCESS","2021-11-06T08:16:19.416205646Z[Etc/UTC]","0.0","3.81"
"Completing a purchase","Colin confirms his order and is told that the items have been dispatched","SUCCESS","2021-11-06T08:16:23.253346322Z[Etc/UTC]","0.0","1.25"
