"Story","Title","Result","Date","Stability","Duration (s)"
"Completing a purchase","Colin enters incomplete name and address info","SUCCESS","2022-02-16T10:15:04.78918323Z[Etc/UTC]","0.0","14.9"
"Completing a purchase","Colin purchases two items and sees them both appear in the purchase summary","SUCCESS","2022-02-16T10:15:19.698156437Z[Etc/UTC]","0.0","2.17"
"Completing a purchase","Colin confirms his order and is told that the items have been dispatched","SUCCESS","2022-02-16T10:15:21.878877507Z[Etc/UTC]","0.0","2.07"
"Calculating sales tax","Colin sees the correctly calculated sales tax for his order","SUCCESS","2022-02-16T10:15:24.61568507Z[Etc/UTC]","0.0","4.96"
"Calculating sales tax","Colin purchases two items so the total tax calculated includes tax for both items","SUCCESS","2022-02-16T10:15:29.585572543Z[Etc/UTC]","0.0","1.94"
