"Story","Title","Result","Date","Stability","Duration (s)"
"Browse the catalog","Colin reviews our range of products","SUCCESS","2021-11-18T17:47:59.470966588Z[Etc/UTC]","0.0","36.69"
"Browse the catalog","Colin views information about each product","SUCCESS","2021-11-18T17:48:36.776892514Z[Etc/UTC]","0.0","25.03"
"Browse the catalog","Colin views the details for specific products","SUCCESS","2021-11-18T17:49:01.86781561Z[Etc/UTC]","0.0","19.4"
"Browse the catalog","Sort products","SUCCESS","2021-11-18T17:49:21.280985565Z[Etc/UTC]","0.0","9.61"
