"Story","Title","Result","Date","Stability","Duration (s)"
"Managing the cart","Colin adds an item to the cart","SUCCESS","2022-08-31T12:08:24.005574214Z[Etc/UTC]","0.0","5.79"
"Managing the cart","Colin removes an item from the cart on the product catalog page 2","SUCCESS","2022-08-31T12:08:29.91963553Z[Etc/UTC]","0.0","7.03"
"Managing the cart","Colin removes an item from the cart overview","SUCCESS","2022-08-31T12:08:37.0287923Z[Etc/UTC]","0.0","4.59"
"Browse the catalog","Colin views the details for specific products","SUCCESS","2022-08-31T12:08:14.765937474Z[Etc/UTC]","0.0","26.09"
"Login's all good","Login's with invalid credentials for <username>","SUCCESS","2022-08-31T12:08:05.585915628Z[Etc/UTC]","0.0","16.87"
"Completing a purchase","Colin enters incomplete name and address info","SUCCESS","2022-08-31T12:07:40.969380059Z[Etc/UTC]","0.0","50.26"
"Completing a purchase","Colin purchases two items and sees them both appear in the purchase summary","SUCCESS","2022-08-31T12:08:31.259429492Z[Etc/UTC]","0.0","4.47"
"Calculating sales tax","Colin sees the correctly calculated sales tax for his order","SUCCESS","2022-08-31T12:07:40.98330312Z[Etc/UTC]","0.0","30.33"
"Calculating sales tax","Colin purchases two items so the total tax calculated includes tax for both items","SUCCESS","2022-08-31T12:08:11.322273738Z[Etc/UTC]","0.0","5.9"
