"Story","Title","Result","Date","Stability","Duration (s)"
"Managing the cart","Colin adds ignored items to the cart","IGNORED","2021-12-02T14:41:31.037228373Z[Etc/UTC]","0.0","0.11"
"Managing the cart","Colin adds pending items to the cart","PENDING","2021-12-02T14:41:31.167369042Z[Etc/UTC]","0.0","0.08"
"Managing the cart","Colin adds skipped items to the cart","SKIPPED","2021-12-02T14:41:31.27095769Z[Etc/UTC]","0.0","0.07"
"Browse the catalog","Colin reviews our range of products by hand","PENDING","2021-12-02T14:41:00.143619703Z[Etc/UTC]","0.0","0.45"
"Browse the catalog","Colin reviews more of our range of products by hand","SUCCESS","2021-12-02T14:41:00.704135505Z[Etc/UTC]","0.0","0.28"
"Browse the catalog","Colin reviews more of our range of products by hand and finds a problem","FAILURE","2021-12-02T14:41:01.073759269Z[Etc/UTC]","0.0","0.35"
