"Story","Title","Result","Date","Stability","Duration (s)"
"Browse the catalog","Colin reviews our range of products","SUCCESS","2021-11-18T17:44:36.301130736Z[Etc/UTC]","0.0","35.1"
"Browse the catalog","Colin views information about each product","SUCCESS","2021-11-18T17:45:11.589353048Z[Etc/UTC]","0.0","25.62"
"Browse the catalog","Colin views the details for specific products","SUCCESS","2021-11-18T17:45:37.328581036Z[Etc/UTC]","0.0","22.76"
"Browse the catalog","Sort products","SUCCESS","2021-11-18T17:46:00.104343742Z[Etc/UTC]","0.0","9.67"
