"Story","Title","Result","Date","Stability","Duration (s)"
"Browse the catalog","Colin reviews our range of products","SUCCESS","2021-11-06T08:15:41.406255215Z[Etc/UTC]","0.0","21.0"
"Browse the catalog","Colin views information about each product","SUCCESS","2021-11-06T08:16:03.201207632Z[Etc/UTC]","0.0","6.22"
"Browse the catalog","Colin views the details for specific products","SUCCESS","2021-11-06T08:16:09.539589019Z[Etc/UTC]","0.0","6.77"
"Browse the catalog","Sort products","SUCCESS","2021-11-06T08:16:16.335606269Z[Etc/UTC]","0.0","4.52"
